I'm not sure, but I know that Dylan's Candy Bar is a chain of boutique shops and candy supplier.		I don't know how good they are, but Dylan's Candy Bar has a chain of candy shops in various cities.		Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.
I see, do you have a problem with the fact that pushing yourself to achieve unrealistic goals is a set of consequences for disappointment?		That would not be good. It is important to notice that when a person pressure themself to achieve goals that are unrealistic, it can be set up for disappointment		Pressuring oneself to achieve unrealistic goals inevitably sets the person up for disappointment.
It is a multidimensional characteristic. There are many positive and negative aspects.		There are situations where Perfectionism can have positive aspects but there are also negative ones.		It is best conceptualized as a multidimensional characteristic, as psychologists agree that there are many positive and negative aspects.
I see, do you also call them farmers?		As in agriculturer? DO they raise animals or plants for food?		A farmer (also called an agriculturer) is a person engaged in agriculture, raising living organisms for food or raw materials.
I see. I know that cruelty can be a cause of harm or suffering.		Are there mechanisms in place to prevent animal cruelty in how they are slaughtered?		More narrowly, it can be the causing of harm or suffering for specific achievement, such as killing animals for food or for their fur; opinions differ about the extent of cruelty associated with a given method of slaughter.
Yes, cruelty to animals is also called animal abuse, animal neglect or animal cruelty.		I see, are you aware of the term animal abuse? It is when a human inflicts surffering or harm to non-human animals		Cruelty to animals, also called animal abuse, animal neglect or animal cruelty, is the infliction by omission (animal neglect) or by commission by humans of suffering or harm upon any non-human animal, regardless of whether the act is against the law.
Yes, they are an animal rights organization based in Virginia.		Yes indeed. Have you heard of PETA? It is an American animal rights organization based in norfolk.		People for the Ethical Treatment of Animals (PETA ; stylized PeTA) is an American animal rights organization based in Norfolk, Virginia, and led by Ingrid Newkirk, its international president.
I'm a bot, so I can't play basketball. I know that it's the main international basketball competition that is contested biannually.		I'm a bot, so can't be a fan of things, but I know that it's played every other year by national teams in Europe.		EuroBasket, also commonly referred to as the ''European Basketball Championship'', is the main international basketball competition contested biannually by the men's national teams governed by FIBA Europe, the European zone within the International Basketball Federation.
I haven't heard of it, but I know that it's based in Madrid, Spain.		Yes, it's a football club located in Madrid, Spain. What do you think about them?		Real Madrid Club de Fútbol (; ''Royal Madrid Football Club''), commonly known as Real Madrid, or simply as Real, is a professional football club based in Madrid, Spain.
I see, did you know that Ronaldo is considered to be one of the greatest football players of all time?		Yes, he's considered one of the best ever. Do you know anything else about him?		Popularly dubbed ''O Fenômeno'' (The Phenomenon), he is widely considered to be one of the greatest football players of all time.
I don't really know what it is, but I know that tax evasion is when people, corporations, and trusts evade taxes.		Well, tax evasion is essentially where you don't pay the taxes you should.		Tax evasion is the illegal evasion of taxes by individuals, corporations, and trusts.
Yes, he was at his peak in the 1990s. He played for clubs like Cruzeiro, PSV, Barcelona, and Inter Milan.		I can't say. I can say that in the 1990s he played for several clubs like Barcelona and Cruzeiro.		At his physical peak in the 1990s, Ronaldo starred at club level for Cruzeiro, PSV, Barcelona and Inter Milan.
I'm a bot so I can't drink tea. I know that it's owned by Dr Pepper Snapple Group.		No, I'm a bot and can't drink. Did you know its owned by the Dr Pepper people?		Snapple is a brand of tea and juice drinks which is owned by Dr Pepper Snapple Group and based in Plano, Texas.
I see, did you know Snapple is owned by Dr Pepper Snapple Group?		Apparently it is also based in a place called Plano, Texas. Have you tried any of their flavors?		Snapple is a brand of tea and juice drinks which is owned by Dr Pepper Snapple Group and based in Plano, Texas.
Well, I can't say but the company was founded in 1972.		I don't know, but I do know that the original company was formed back in 1972.		The company (and brand), which was originally known as Unadulterated Food Products, was founded in 1972.
I don't know the exact name, but they did get their name from an apple juice product that came out of a store called Snapple.		The name Snapple stuck after an early apple juice product way back in the history's past, too.		An early apple juice product led to the company's name, Snapple.
I'm not sure, but it was founded by Leonard Marsh, Arnold Greenberg, and Hyman Golden.		Thanks! One last fun fact, the company was founded in Long Island by three people.		Snapple was founded by Leonard Marsh, Hyman Golden, and Arnold Greenberg in 1972 in Valley Stream, Long Island, New York.
Oh, cool! I know that it is a viral infectious disease of the upper respiratory tract.		That's too bad. Did you know the cold is caused by a virus?		The common cold, also known simply as a cold, is a viral infectious disease of the upper respiratory tract that primarily affects the nose.
I don't know. But I know that virus are found in almost every ecosystem on Earth.		I can't say, but I do know that viruses are found pretty much everywhere on the planet. Did you know they are the most numerous biological entity?		Viruses are found in almost every ecosystem on Earth and are the most abundant type of biological entity.
I know that meningitis is an inflammation of the protective membranes covering the brain and spinal cord.		I do! It's an inflammation of some protective membranes on your spinal cord and brain that are called meninges. What else would you like to know?		Meningitis is an acute inflammation of the protective membranes covering the brain and spinal cord, known collectively as the meninges.
I don't know about bacterial or viral infections, but if a rash is present, it may indicate a particular cause.		I don't know in general, but if there is a rash, that is often a sign of bacterial meningitis. What's your experience with rashes?		If a rash is present, it may indicate a particular cause of meningitis; for instance, meningitis caused by meningococcal bacteria may be accompanied by a characteristic rash.
I see, chickenpox is a highly contagious disease.		Speaking of that, Chickenpox is also called ''varicella'', did you ever have chicken pox growing up?		Chickenpox, also known as varicella, is a highly contagious disease caused by the initial infection with varicella zoster virus (VZV).
Well, I know that leaf cabbage is grown for their edible leaves		kale is sometimes called leaf cabbage and is a cultivar of cabbage which is grown for its edible leaves		Kale () or leaf cabbage are certain cultivars of cabbage (''Brassica oleracea'') grown for their edible leaves.
I'm not sure, but I know that kale is closer to wild cabbage than the domesticated forms of Brassica oleracea		I don't know about a type of salad. However, kale, our previous topic, is believed to more similar to wild cabbage over many other domesticated cabbages.		Kales are considered to be closer to wild cabbage than most domesticated forms of ''Brassica oleracea''.
I can't tell you anything about kale, but I know that it was used as a medicinal food source		Well, did you know that kale can be used as a medicinal food		It was also used as medicinal food source.
Well, I know that it can be used to treat bowel ailments.		According to a person named Disocorides, it can be used for bowel treatment.		Disocorides wrote that it could be used to treat bowel ailments.
I don't know. I do know that it was brought to North America by colonists in the 16th century		For North America they were not. In fact, colonists brought it over during the 16th century.		Kale was brought to North America by the colonists in the 16th century.
Yes, it's a German car manufacturer that specializes in high-performance sports cars.		Well, I know that it's a German auto maker. What else would you like to know?		h.c. F. Porsche AG, usually shortened to Porsche AG (), is a German automobile manufacturer specializing in high-performance sports cars, SUVs and sedans.
I am not sure about that, but I know that the manufacturer is known as H.C.F. Porsche.		I can't really say, but they do make high-performance automobiles.		h.c. F. Porsche AG, usually shortened to Porsche AG (), is a German automobile manufacturer specializing in high-performance sports cars, SUVs and sedans.
I'm not sure about that, but the term implies a vehicle with better equipment, better performance, and more precise construction.		I'm not sure, but they generally are made with very precise construction and have new technologies in them.		The term suggests a vehicle with higher quality equipment, better performance, more precise construction, comfort, higher design, technologically innovative modern, or features that convey an image, brand, status, or prestige, or any other 'discretionary' feature or combination of them.
I'm not sure, but they are also known as a manual transmission, or stick shift.		I don't really know. I assume by standard, you mean a manual transmission, or a stick shift.		A manual transmission, also known as a manual gearbox, stick shift, ''n''-speed manual (where ''n'' is its number of forward gear ratios), standard, MT, or in colloquial U.S. English, a stick (for vehicles with hand-lever shifters), is a type of transmission used in motor vehicle applications.
Well, I know that Vikings were Norse seafarers who raided and traded from their Northern European homelands		The Vikings were seafarers. They spoke Old Norse, raided Northern Europe around the 8th to 11th centuries.		Vikings (Old English: ''wicing''—''pirate'', Danish and ; Swedish and ; , from Old Norse) were Norse seafarers, mainly speaking the Old Norse language, who raided and traded from their Northern European homelands across wide areas of northern, central, eastern and western Europe, during the late 8th to late 11th centuries.
I don't know about the origins of Vikings, but they raided and traded from their Northern European homelands across wide areas of northern, central, eastern and western Europe.		They were found in Northern Europe.		Vikings (Old English: ''wicing''—''pirate'', Danish and ; Swedish and ; , from Old Norse) were Norse seafarers, mainly speaking the Old Norse language, who raided and traded from their Northern European homelands across wide areas of northern, central, eastern and western Europe, during the late 8th to late 11th centuries.
They raided and traded from their homelands in Northern Europe.		I do not know about any super powers. They were raiders and traders though.		Vikings (Old English: ''wicing''—''pirate'', Danish and ; Swedish and ; , from Old Norse) were Norse seafarers, mainly speaking the Old Norse language, who raided and traded from their Northern European homelands across wide areas of northern, central, eastern and western Europe, during the late 8th to late 11th centuries.
I can't confirm you that. But I can confirm that Vikings were Norse seafarers.		It can be traced to the late 8th and late 11th centuries		Vikings (Old English: ''wicing''—''pirate'', Danish and ; Swedish and ; , from Old Norse) were Norse seafarers, mainly speaking the Old Norse language, who raided and traded from their Northern European homelands across wide areas of northern, central, eastern and western Europe, during the late 8th to late 11th centuries.
I don't have an opinion about it. I know that in their most general form they include producing works of art, criticism of art, and the study of history of art.		As a bot, I don't get to enjoy art. I do know art appreciation includes making, criticism, studying art history, and spreading art. Do you like doing those things?		In their most general form these activities include the production of works of art, the criticism of art, the study of the history of art, and the aesthetic dissemination of art.
I see, well the history of painting goes back to pre-historic humans.		Neat! Studying art history can take you back all the way to pre-historic humanity.		The history of painting reaches back in time to artifacts from pre-historic humans, and spans all cultures.
Interesting. Did you know that art from preliterate cultures started somewhere in late geological history?		It means you like prehistorical arts. They are produced in preliterate, prehistorical cultures beginning somewhere in very late geological history, and generally continuing until that culture either develops writing or other methods of record-keeping		In the history of art, prehistoric art is all art produced in preliterate, prehistorical cultures beginning somewhere in very late geological history, and generally continuing until that culture either develops writing or other methods of record-keeping, or makes significant contact with another culture that has, and that makes some record of major historical events.
Yes, and ancient art starts for older literate cultures.		Of course yes, there was no literacy back then so ancient art begins for the older literate cultures.		At this point ancient art begins, for the older literate cultures.
Interesting, broccoli has large flower heads that are usually green in color.		Oh really? Is it the green color, the tree-like shape, or the thick edible stalk?		Broccoli has large flower heads, usually green in color, arranged in a tree-like structure branching out from a thick, edible stalk.
I see, broccoli is often boiled or steamed but may be eaten raw.		Oh, I hear you.  Do you eat it raw, steamed, or boiled?  That's how it's often eaten.		Broccoli is often boiled or steamed but may be eaten raw.
It's a different cultivar group from cauliflower, and is actually a different cultivar group.		Oh I see.  Did you know it's the same species as cauliflower?  It's not in the same cultivar group though.		Broccoli resembles cauliflower, which is a different cultivar group of the same species.
I'm not sure, but since the Roman Empire, broccoli has been considered a very valuable food among Italians.		Oh, well Italy really values broccoli, and has since the Roman Empire!		Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.
I know that it's a state in the northeastern United States.		Oh okay, well I have some information.   It's in a region called New England, in northeastern US.		Vermont () is a state in the New England region of the northeastern United States.
Lake Champlain is located on the western border of Vermont with New York.		Oh I'm not sure.  But New York is on it's western border.		Lake Champlain forms half of Vermont's western border with New York.
They are the largest group of freshwater lakes on Earth by total area and second largest by total volume.		I know that there are five!   Their names are Lake Huron, Lake Superior, Lake Erie, Lake Ontario, and Lake Michigan.  They make up the biggest cluster of freshwater lakes in the world!		Consisting of Lakes Superior, Michigan, Huron (or Michigan–Huron), Erie, and Ontario, they form the largest group of freshwater lakes on Earth by total area, and second largest by total volume containing 21% of the world's surface fresh water by volume.
Vermont is the second smallest by population and the sixth smallest by area.		Well if you look at all 50 states, it's the 2nd smallest by population.   By area, it's the 6th smallest.		Vermont is the second smallest by population and the sixth smallest by area of the 50 U.S. states.
Well, it was ranked as the safest state in the country in 2016.		Hah!  Another fact for you:  in 2016 it was the safest US state!		It was ranked as the safest state in the country in 2016.
I can't help you, I'm a bot. I know that Canada is located in the northern part of North America.		Canada is a country located in north America		Canada (; ) is a country located in the northern part of North America.
It has 10 provinces and 3 territories.		I don't have that information, sorry. But I know that it has 10 provinces and 3 territories and is the second largest country in the world by area		Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean, covering , making it the world's second-largest country by total area.
Well, I know that most of the country has a cold winter climate but southern areas are warm in summer		The country has a severely cold winter climate		The majority of the country has a cold or severely cold winter climate, but southern areas are warm in summer.
Well, I know that the British and French established colonies in the 16th century.		I don't have much information about that. DIdi you know that canada was established in 1535 by france?		Beginning in the 16th century, the British and French established colonies, the first being the colony of Canada established by France in 1535.
I don't know about that, but the British and French established colonies in the 16th century.		I can't confirm you that. Did you know that france and great britain established colonies during the 16th century?		Beginning in the 16th century, the British and French established colonies, the first being the colony of Canada established by France in 1535.
I haven't. I know that in 2005 she signed with Kemosabe Records.		I know some facts about her. Did you know that Kesha signed with Kemoshabe records when she was 18?		In 2005, at age 18, Kesha was signed to Kemosabe Records.
I don't know, but her first major success came in 2009 after she featured on Flo Rida's number-one single "Right Round."		Well, the first major success of hers was when she was featured on Right Round		Her first major success came in early 2009 after she featured on American rapper Flo Rida's number-one single ''Right Round''.
I'm not sure, but she's an American singer, songwriter, actress, and rapper.		Kesha Rose Sebert and she was born in  March 1, 1987		Kesha Rose Sebert ( ; born March 1, 1987; formerly stylized as Ke$ha) is an American singer, songwriter, actress and rapper.
Well, her debut album Animal was at the top of the charts in a number of countries.		It was called Animal. and after releasing the album, her  music and image propelled her to immediate success		Kesha's music and image propelled her to immediate success, with her debut album ''Animal'' premiering at the top of the charts in several countries.
I see, vegans follow either the diet or the philosophy.		if you follow the philosopy of veganism you would be known as a vegan		A follower of either the diet or the philosophy is known as a vegan ( ).
I see. Did you know that diet vegans are strict vegetarians?		Yeah, and they actually don't consume animal products as well, if they are dietary vegans		''Dietary vegans'' (or strict vegetarians) refrain from consuming animal products, not only meat but also eggs, dairy products and other animal-derived substances.
I see. I know that there are differences between different categories of veganism.		I agree. There is also distinctions between the categories of veganism		Distinctions are sometimes made between several categories of veganism.
Yes, vegephobia is the aversion to and discrimination against vegans and vegetarians.		Yeah, and there is also something called vegaphobia, which is aversion or discrimination against people that are vegan and vegetarian		Vegaphobia (or vegephobia) is the aversion to and discrimination against vegetarian and vegan people.
Cool, did you know some beaches have man-made infrastructure like lifeguard posts, changing rooms, and showers?		Oh is it!  I understand some beaches have showers, changing rooms, lifeguard posts, and other man-made infrastructure.		Some beaches have man-made infrastructure, such as lifeguard posts, changing rooms, and showers.
Interesting! Wild beaches are also known as undeveloped or undiscovered beaches.		Nice.  Have you been to a wild beach?  They are undeveloped.		Wild beaches, also known as undeveloped or undiscovered beaches, are not developed in this manner.
I can't say. I know that wild beaches can be valued for their untouched beauty and preserved nature.		Okay, well they have preserved nature and a beauty that is untouched.		Wild beaches can be valued for their untouched beauty and preserved nature.
Yes, they may have hotels, resorts, camps, and restaurants nearby.		I don't know.  Wild beaches might have hotels, restaurants and other hospitality venues nearby.		They may also have hospitality venues (such as resorts, camps, hotels, and restaurants) nearby.
She was a fashion designer and businesswoman from France.		Hi, she was a french fashion designer that was born in 1883		Gabrielle Bonheur ''Coco'' Chanel (19 August 1883 – 10 January 1971) was a French fashion designer and businesswoman.
I don't know if she died, but she was a businesswoman and fashion designer.		Yes, she has. Her real name was Gabrielle Bonheur Chanel and she died in 1971		Gabrielle Bonheur ''Coco'' Chanel (19 August 1883 – 10 January 1971) was a French fashion designer and businesswoman.
She was the founder and namesake of the Chanel brand		I can tell you that she founded the Chanel brand		She was the founder and namesake of the Chanel brand.
I don't know about that, but I know that she also had a signature scent, Chanel No.		Yeah. Did you know that her signature scent was Chanel No. ?		Her signature scent, Chanel No.
I see, Chanel 5 is an iconic product.		Yes, and it is also an iconic product		5, has become an iconic product.
Cool! Blue is one of the three primary colors of pigments in painting and in the RGB color model.		Interesting. Did you know that it is a primary color in the RGB model?		Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model.
I am not sure about where it falls on the visible light spectrum, but I know that it lies between green and violet		It is right between violet and green		It lies between violet and green on the spectrum of visible light.
I can't say, but I know that the eye perceives blue when observing light with a dominant wavelength between 450 and 495 nanometres		Well with blue  The eye perceives blue when observing light with a dominant wavelength between 450 and 495 nanpmetres.		The eye perceives blue when observing light with a dominant wavelength between approximately 450 and 495 nanometres.
I don't know about that, but most blues have a mixture of other colors, like azure and ultramarine.		Yeah, another interesting fact is that a lot of blues are made up of mixtures of colors, like azure that has some green in it		Most blues contain a slight mixture of other colors; azure contains some green, while ultramarine contains some violet.
I know that it is a color that is between red and blue.		Well, I know that the purple color is located between red and blue		Purple is a color intermediate between blue and red.
I do not know if it had any historical uses, but I know that purple is associated with magic, royalty, mystery and piety		I don't know much about historical uses, but I know that it is associated with magic, royalty and even piety often		According to surveys in Europe and the U.S., purple is the color most often associated with royalty, magic, mystery and piety.
Yes, it is similar to violet, but unlike violet, it is a composite color made by combining red and blue.		I'm not sure exactly what wavelengths it occurs at. I do know that purple is similar to violet but unlike that spectral color it is a composite color.		It is similar to violet, but unlike violet, which is a spectral color with its own wavelength on the visible spectrum of light, purple is a composite color made by combining red and blue.
I can't say but I can say that purple is an intermediate color between red and blue.		I don't have more information about that. But I know that purple is a intermediate color between red and blue		Purple is a color intermediate between blue and red.
Well, I know that it involves raising and breeding domestic pigs as livestock.		I know that it involves raising and breeding pigs. What else would you like to know?		Pig farming is the raising and breeding of domestic pigs as livestock, and is a branch of animal husbandry.
I don't know if that is true or not,but I know that commercial farms in developed nations house thousands of pigs in climate-controlled buildings.		I don't know, but I know that commercial farms keep pigs by the thousands in climate-controlled housing. What do you think of that?		In developed nations, commercial farms house thousands of pigs in climate-controlled buildings.
Yes, pigs have been farmed to dispose of municipal garbage on a large scale.		Yes, pigs have also been farmed to get rid of municipal garbage. Speaking of eating, do you eat pork?		Pigs have been farmed to dispose of municipal garbage on a large scale.
I don't know, but I know that over 1 billion pigs are butchered every year in the world.		Well, about 1 billion pigs worldwide are butchered, and about 100 million in America.		Pigs are a popular form of livestock, with more than one billion pigs butchered each year worldwide, 100 million of them in the USA.
Yes, pigs are used for human food, but also for skin, fat and other materials.		I see, pigs are also used for clothing and cosmetics, and even for medical use.		The majority of pigs are used for human food but also supply skin, fat and other materials for use as clothing, ingredients for processed foods, cosmetics, and medical use.
I haven't, but I know that adoption is meant to effect a permanent change in status.		I do not. But speaking of adoption, did you know that adoption requires recognition from society ?		Unlike guardianship or other systems designed for the care of the young, adoption is intended to effect a permanent change in status and as such requires societal recognition, either through legal or religious sanction.
I see, did you know that adoption can be done by a couple or an individual person?		I see. An interesting fact is that a couple or just an individual can adopt , but the kid has to be fourteen years younger		Adoption can be done by a couple or an individual person but children have to be 14 years younger and the adoptive parents can not have been legally incapacitated.
Yes, they can adopt by taking the parenting of a child from their biological parents.		I am not sure about that. I know that through adoption a person tranfers all responsabilities and rights, as well as the filiation from the parents that are biological		Adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents, and, in so doing, permanently transfers all rights and responsibilities, along with filiation, from the biological parent or parents.
I know that adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents.		Well, I also know that the person adopting assumes the role of parent of a child usually, and the tranference is permanent		Adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents, and, in so doing, permanently transfers all rights and responsibilities, along with filiation, from the biological parent or parents.
No, I'm a bot, so I can't date. I do know that a first date is a type of initial meeting between two individuals.		Bots don't date. But I know all about it, it is the initial meeting two individuals have.		A first date is a type of initial meeting between two individuals, whether or not previously acquainted, where an effort is made to ask, plan, and organize some sort of social activity, with the goals ranging from forming a friendship, finding a romantic or sexual partner for a short period, to finding a long-term spouse.
Tinder was released in September 12, 2012 by founders Sean Ra, Jonathan Badeen, Justin Mateen, Joe Munoz, Dinesh Moorjani, Chris Gylczynski, and Whitney Wolfe.		Interesting. Did you know that tinder came out in 2012?		Tinder was released in September 12, 2012 by founders Sean Ra, Jonathan Badeen, Justin Mateen, Joe Munoz, Dinesh Moorjani, Chris Gylczynski, and Whitney Wolfe.
Well, I know that it is a form of courtship, consisting of social activities done by the couple, either alone or with others.		Well, I know that a courtship form might consist of social activities that the couple do.		It is a form of courtship, consisting of social activities done by the couple, either alone or with others.
I see. Courtship is when the couple is engaged or married.		Yeah, the period preceding the engagement of a couple is called courtship		Courtship is the period in a couple's relationship which precedes their engagement and marriage, or establishment of an agreed relationship of a more enduring kind.
I see. Did you know that it is traditionally thought that a male is to woo a female to understand him?		Interesting, traditionally, the male has the role of courting or wooing the female		Traditionally, in the case of a formal engagement, it has been perceived that it is the role of a male to actively ''court'' or ''woo'' a female, thus encouraging her to understand him and her receptiveness to a proposal of marriage.
I know that the Ford F-Series is a series of light-duty trucks		Yes I do!  The Ford trucks (or F-series) is a series of light-duty trucks and medium duty trucks that have been manufactured by Ford Motor Company.		The Ford F-Series is a series of light-duty trucks and medium-duty trucks (Class 2-7) that have been marketed and manufactured by Ford Motor Company since 1948.
Yes, the F-Series Super Duty is a series of trucks manufactured by Ford Motor Company.		I can't confirm you that. But I know that the Ford Motor Company is the one manufacturing the Ford F-series		The Ford F-Series Super Duty (often shortened to Ford Super Duty) is a series of trucks manufactured by Ford Motor Company.
I see, did you know that the most popular version of the F-Series is the F-150?		Interesting. Did you know that the F-150 is the most popular F-Series version?		The most popular version of the F-Series is the F-150, now in its thirteenth generation.
Well, the F-series has three models, the Super Duty (F-250 through F-550), and the F-650 and F-750 Super Duty commercial trucks.		Well, I know that the F-150, F-250 through F-550, F-650 and F-750 were included in the F-series as of 2017		As of the 2017 model year, the F-Series includes the F-150, the Super Duty (F-250 through F-550), and F-650 and F-750 Super Duty medium-duty commercial trucks.
Cool! Do you do tricks and ride on a skateboard?		So, were you able to perform any tricks with your skateboard?		Skateboarding is an action sport which involves riding and performing tricks using a skateboard.
Skateparks have been constructed specifically for use by skateboarders.		Oh, haha, I get you. And yes, since the 1970s, skateparks have been constructed specifically for use by skateboards. Did you ever use one of these skateparks when you were younger?		Since the 1970s, skateparks have been constructed specifically for use by skateboarders, Freestyle BMXers, aggressive skaters, and very recently, scooters.
I don't know if they use them for other reasons than skateparks, but skateparks have been constructed specifically for use by skateboarders, BMXers, aggressive skaters and scooters.		Oh, yes. There's skateparks for Freestyle BMXers, agressive skaters, and scooters. Although scooter parks came very recently		Since the 1970s, skateparks have been constructed specifically for use by skateboarders, Freestyle BMXers, aggressive skaters, and very recently, scooters.
I do not, but I know that crate scooters preceded skateboards.		I don't, however, I do know that a crate scooter preceded skateboards. They were just a wooden crate attached to the nose of a board which formed handlebars!		Crate scooters preceded skateboards, having a wooden crate attached to the nose (front of the board), which formed rudimentary handlebars.
Oh, nice. Did you know that public housing is priced well below the market rate?		Interesting. This type of housing has a price below the rate of the market and allows people to live more conveniently		Public housing is priced well below the market rate, allowing people to live in more convenient locations rather than move away from the city in search of lower rents.
I see, did you know that income inequality in the US has increased significantly since the 1970s?		I see. Did you know that income inequality has increased in the US since the 1970s?		Income inequality in the United States has increased significantly since the 1970s after several decades of stability, meaning the share of the nation's income received by higher income households has increased.
Well, I also know that the bottom 50% of families have a net worth of $11,000		Yes. The ottom half of the families average on only a 11,000 dollars net worth.		However, the bottom 50% of families, representing 62 million households, average $11,000 net worth.
I see. The income tax rates applied to various income levels and tax expenditures (i.e., deductions, exemptions, and preferential rates) primarily drive how market results are redistributed to impact after-tax inequality.		Yeah, the market results that are redistributed are driven by income tax rates		Income tax rates applied to various income levels and tax expenditures (i.e., deductions, exemptions, and preferential rates that modify the outcome of the rate structure) primarily drive how market results are redistributed to impact the after-tax inequality.
I don't really know, but I know that children who divorce have significant social and psychological difficulties.		I see, I Know that kids from divorced parents may experience social and psychological difficulties		Strong evidence indicates that children whose parents get divorced experience significant psychological and social difficulties.
Yeah, divorce is the psychological state of someone who is functioning at a satisfactory level of emotional and behavioural adjustment.		That's good. People can functionate at a level of behavioural and emotional adjustment that is satisfactory		It is the ''psychological state of someone who is functioning at a satisfactory level of emotional and behavioural adjustment''.
I see, I know that there are related concepts like eudaimonia, happiness, flourishing, quality of life, and contentment		That is important. eudimonia, flourishing, happiness, contentment and quality of like are some related concepts		Related concepts are eudaimonia, happiness, flourishing, quality of life, contentment, and meaningful life.
Well, I know that well-being is a much-studied topic in psychology.		As I am a bot that would not be posible. But it is important to notice that Well-being is studied a lot in positive psychology		Well-being is a much-studied topic in psychology, especially positive psychology.
I can't say, but I can say that a fertility factor is a determinant of the number of children an individual is likely to have.		Hey sure!  Fertility factors can determine the likely number of children a person will have.		Fertility factors are determinants of the number of children that an individual is likely to have.
Yes, they are mostly positive or negative correlations, but they don't have specific causations.		Well no, they are mainly correlations, either positive or negative.		Fertility factors are mostly positive or negative correlations without certain causations.
I'm not sure what those are, but there are factors that are associated with increased fertility, like the intention to have children, and religious beliefs.		Things like child intentions, cohabitation, social support among other things.		Factors generally associated with increased fertility include the intention to have children, very high gender equality, religiosity, inter-generational transmission of values, marriage and cohabitation, maternal and social support, rural residence, and pro family government programs.
Well, the support can come from family, friends, pets, neighbors, coworkers, organizations, etc.		Could be so!  Support can be provided by family, friends, coworkers, neighbors, organizations and even pets.		Support can come from many sources, such as family, friends, pets, neighbors, coworkers, organizations, etc.
I see, did you know the miniature pinscher is a breed of dog originating from Germany?		Oh nice!  That's a small breed originally from Germany, right?		The Miniature Pinscher (Zwergpinscher or Min Pin) is a small breed of dog originating from Germany.
I haven't, but I know that a kiss is when one's lips are touched against another person or object.		No, as a bot I don't have lips to press against something. Have you?		A kiss is the touch or pressing of one's lips against another person or an object.
I'm not sure, but the cultural connotations of kissing vary widely.		Yeah the Cultural connotation are very differnt depending on where you live		Cultural connotations of kissing vary widely.
Yes, kisses can express feelings of love, passion, romance, sexual attraction, sexual activity, affection, respect, friendship, peace, and good luck.		I don't know what Eskimo kisses are, but I mean a kiss could express love, romance, sexual arousal, or just good luck!		Depending on the culture and context, a kiss can express sentiments of love, passion, romance, sexual attraction, sexual activity, sexual arousal, affection, respect, greeting, friendship, peace, and good luck, among many others.
I see, did you know that anthropologists are divided into two schools on the origins of kissing? One believes it is instinctual and intuitive and the other believes it evolved from what is known as ''kiss feeding'', a process used by mothers to feed their infants by passing chewed food to their mouths.		That's interesting. It seems anthropologist differ on how kissing came about. One side things it's instinctual, and others think it has to do with mothers essentially "kissing" their babies to feed them.		Anthropologists are divided into two schools on the origins of kissing, one believing that it is instinctual and intuitive and the other that it evolved from what is known as ''kiss feeding'', a process used by mothers to feed their infants by passing chewed food to their babies' mouths.
In some situations, a kiss is a ritual, formal or symbolic gesture indicating devotion, respect, or sacrament.		I see, well in some situations, kissing is part of a formal ritual.		In some situations, a kiss is a ritual, formal or symbolic gesture indicating devotion, respect, or sacrament.
I am not aware of it, but it has been cited as a major health issue in recent decades.		Yes I am aware, the epidemic has been classified as a major health issue that leads to several secondary diseases.		Obesity in the United States has been increasingly cited as a major health issue in recent decades, resulting in diseases such as coronary heart disease that lead to mortality.
Well, I can tell you that obese people in America incur more medical expenses than obese people.		I don't know but I do know that it costs an obese person $1,429 more for medical expenses in America. What are your ideas?		An obese person in America incurs an average of $1,429 more in medical expenses annually.
I see. I also know that the United States has one of the highest percentages of obese people in the world.		Indeed, the US has one of the largest obesity rates in the world.		The United States contains one of the highest percentage of obese people in the world.
Yes, the overweight percentages for the overall US population are higher.		In the 2008 about 64% of adults and 17% of children were overweight, I don't know the rates for obesity, though.		The overweight percentages for the overall US population are higher reaching 39.4% in 1997, 44.5% in 2004, 56.6% in 2007, and 63.8% (adults) and 17% (children) in 2008.
Oh, that's cool. Animal shelters are places where animals are kept and rehabilitated.		I see, in animal shelters surrendered or abandoned animals and even wounded or sick wildlife can be rehabilitaded		An animal shelter or pound is a place where stray, lost, abandoned or surrendered animals, mostly dogs and cats, and sometimes sick or wounded wildlife are kept and rehabilitated.
I see, do you know that some shelters even have sick tropical animals?		Sure, there are shelters that have tropical animals		Some shelters even have sick tropical animals.
I see, did you know that Georgia's Animal Protection Act was one of the first comprehensive measures?		Yeah. Have you heard of a Animal protection Act from georgia? it came out in 1986		One of the earliest comprehensive measures was the ''Georgia Animal Protection Act'' of 1986.
Oh, that's nice. Did you know that the word pound was derived from animal pounds in agricultural communities?		I see, did you know that the term pound originated in agricultural communities animal pounds ?		The word ''pound'' had its origins in the animal pounds of agricultural communities, where stray livestock would be penned or impounded until claimed by their owners.
